rank,title,inbound_links,page_chars
1,Jinx,126,32760
2,Vi,108,24445
3,Jayce Talis,103,26304
4,Caitlyn Kiramman,93,16834
5,Viktor,91,23068
6,Silco,84,13195
7,Vander,79,24978
8,Ambessa Medarda,78,20911
9,Mel Medarda,69,23833
10,Species,65,6934
11,Sevika,62,14180
12,Ekko,61,11478
13,Singed,51,8366
14,Shimmer,50,2865
15,Cecil B. Heimerdinger,49,11857
16,Marcus,44,8448
17,Cassandra Kiramman,41,9128
18,Isha,39,7976
19,Claggor,36,5599
20,Mylo,35,4265
21,Maddie Nolen,30,6485
22,Grayson,28,6721
23,Benzo,25,3160
24,Renni,25,7735
25,Minor Characters,24,6849
26,Rictus,24,6190
27,Elora,23,4583
28,Kino Medarda,23,2371
29,Sky Young,23,5980
30,Tobias Kiramman,23,3920
31,Loris,21,4728
32,Deckard,20,3328
33,Shoola,20,6484
34,Torman Hoskel,20,4857
35,Irius Bolbok,19,5080
36,Huck,19,5212
37,Jinx/Alternate Universe,19,8179
38,Felicia,18,4889
39,Steb,17,4791
40,Smeech,16,6644
