rank,title,inbound_links,page_chars
1,Eren Yeager,400,154586
2,Eren Jaeger (Anime),395,157294
3,Titan,384,14537
4,Attack on Titan (Manga),383,24361
5,Scout Regiment (Anime),359,31763
6,Walls,355,15558
7,Survey Corps,352,32723
8,Titan (Anime),343,16993
9,Attack on Titan (Anime),321,41670
10,Walls (Anime),314,17119
11,Hajime Isayama,280,11711
12,Mikasa Ackerman,263,113305
13,Armin Arlert,262,110747
14,Mikasa Ackermann (Anime),255,107753
15,Armin Arlelt (Anime),254,115315
16,Levi Ackerman,243,97060
17,Levi Ackermann (Anime),242,97660
18,Historia Reiss,222,55922
19,Reiner Braun,220,106003
20,Hange Zoë,214,74312
21,Reiner Braun (Anime),212,106815
22,Historia Reiss (Anime),209,50901
23,Marley,208,28902
24,Hange Zoë (Anime),207,71205
25,Zeke Jaeger (Anime),201,77124
26,Zeke Yeager,198,76446
27,Erwin Smith (Anime),197,59199
28,Jean Kirstein,197,83404
29,Power of the Titans,196,18009
30,Jean Kirschtein (Anime),194,80794
31,Annie Leonhart (Anime),190,79990
32,Erwin Smith,189,50244
33,Marley (Anime),189,45145
34,Connie Springer,188,54699
35,War for Paradis arc (Anime),186,4013
36,Eldia,183,55379
37,Bertholdt Hoover (Anime),182,58552
38,Shiganshina District,181,9060
39,Conny Springer (Anime),180,57414
40,Founding Titan,178,32430
