rank,title,inbound_links,page_chars
1,Aang,1183,97849
2,Katara,810,93162
3,Zuko,797,105782
4,Sokka,784,66776
5,Korra,616,111698
6,Toph Beifong,592,84605
7,Bryan Konietzko,523,13983
8,Iroh,482,101845
9,Kyoshi,427,82634
10,Appa,424,22269
11,Ozai,415,59305
12,Azula,413,94321
13,Bolin,376,72349
14,Roku,354,72487
15,Tenzin,347,80405
16,Mako,344,65912
17,Asami Sato,298,56595
18,Yangchen,283,139457
19,Kuvira,254,97307
20,Lin Beifong,253,97645
21,Suki,253,64541
22,Momo,231,21252
23,Sozin,227,55822
24,Mai,225,42123
25,Ty Lee,217,44849
26,Jinora,216,75696
27,Janet Varney,215,14834
28,Iknik Blackstone Varrick,212,29695
29,Amon,211,40762
30,Zhao,188,38556
31,Kuei,186,27216
32,Unalaq,186,39782
33,Dante Basco,180,15252
34,Dark spirits,180,22427
35,Hakoda,180,32186
36,Yun,180,40889
37,Dee Bradley Baker,176,18585
38,Kuruk,176,39412
39,Zaheer,174,48516
40,Bumi,164,52006
