rank,title,inbound_links,page_chars
1,BoJack Horseman (series),561,10492
2,BoJack Horseman,391,279275
3,Diane Nguyen,254,139125
4,Princess Carolyn,254,138929
5,Mr. Peanutbutter,244,124881
6,Todd Chavez,221,107252
7,Sarah Lynn,136,56093
8,Horsin' Around,102,14722
9,Herb Kazzaz,93,36176
10,Beatrice Horseman,82,72146
11,Hollyhock Manheim-Mannheim-Guerrero-Robinson-Zilberschlag-Hsung-Fonzerelli-McQuack,80,71664
12,Nice While It Lasted,75,20582
13,Later,71,8329
14,Lovin that cali lifestyle!!,70,13511
15,That Went Well,69,11316
16,Philbert,68,6458
17,The Showstopper,66,17714
18,BoJack the Feminist,65,10510
19,The Stopped Show,64,17751
20,Alison Brie,62,3170
21,Will Arnett,62,2314
22,"BoJack Horseman: The BoJack Horseman Story, Chapter One",61,14511
23,Hank After Dark,61,17724
24,"That's Too Much, Man!",60,15107
25,The Shot,60,16451
26,Tom Jumbo-Grumbo,60,16366
27,What Time Is It Right Now,60,12985
28,Ancient History,59,15798
29,Butterscotch Horseman,59,39448
30,The Judge,59,18488
31,Amy Sedaris,58,1434
32,Gina Cazador,58,27783
33,The Dog Days Are Over,58,10451
34,Xerox of a Xerox,58,25082
35,"A Quick One, While He's Away",57,24239
36,Prickly-Muffin,57,10007
37,See Mr. Peanutbutter Run,57,6843
38,Zoës and Zeldas,57,8761
39,Character Actress Margo Martindale,56,13157
40,Escape from L.A.,56,17794
