rank,title,inbound_links,page_chars
1,Walter White,612,166567
2,Jimmy McGill,522,268588
3,Jesse Pinkman,515,143102
4,Mike Ehrmantraut,483,128116
5,Gustavo Fring,387,109645
6,Hank Schrader,348,111210
7,Kim Wexler,286,114911
8,Skyler White,220,42226
9,Nacho Varga,217,69580
10,Hector Salamanca,202,52163
11,Lalo Salamanca,198,91173
12,Howard Hamlin,184,92019
13,Tuco Salamanca,182,42106
14,Chuck McGill,168,95963
15,Bob Odenkirk,165,10343
16,Marie Schrader,164,31560
17,Steven Gomez,163,22332
18,Walter White Jr.,161,30894
19,The Cartel,157,26159
20,The Cousins,153,30977
21,Vince Gilligan,145,8075
22,"Hamlin, Hamlin & McGill",126,13563
23,Superlab,123,14710
24,Jonathan Banks,122,3228
25,Bryan Cranston,121,12798
26,Krazy-8,121,18017
27,White Residence,120,10369
28,Todd Alquist,117,30967
29,Season 6 (Better Call Saul),116,39743
30,Season 2 (Breaking Bad),115,19090
31,Badger,111,8756
32,Drug Enforcement Administration,110,3524
33,Season 1 (Better Call Saul),110,22940
34,Season 5 (Better Call Saul),110,30259
35,Season 1 (Breaking Bad),109,14690
36,Aaron Paul,108,6266
37,Eladio Vuente,108,20828
38,Victor,108,17370
39,Season 4 (Better Call Saul),107,34578
40,Season 3 (Breaking Bad),105,21470
