rank,title,inbound_links,page_chars
1,Jake Peralta,740,32423
2,Charles Boyle,491,14097
3,Amy Santiago,462,25553
4,Rosa Diaz,428,49270
5,Raymond Holt,420,20635
6,Terry Jeffords,413,13961
7,Season One,322,16555
8,Gina Linetti,307,15166
9,Norm Scully,307,11300
10,Michael Hitchcock,295,11091
11,Season Five,295,14036
12,Season Three,273,14767
13,Season Four,267,11340
14,Season Two,265,15058
15,CBS Studio Center,244,2676
16,Stage 12,235,3733
17,Andy Samberg,214,9177
18,Melissa Fumero,210,9330
19,Stephanie Beatriz,208,7775
20,Season Six,197,12589
21,Andre Braugher,194,7590
22,Joe Lo Truglio,192,4106
23,Terry Crews,189,7717
24,Joel McKinnon Miller,185,2873
25,Dirk Blocker,184,2223
26,Chelsea Peretti,170,7013
27,The 78th Precinct,159,4698
28,Season Seven,154,9329
29,"South 5th Street, Brooklyn, New York",138,1562
30,Pilot,96,21851
31,CBS Studio Center/New York Street Backlot,94,10303
32,Shaw's Bar,80,13216
33,Kevin Cozner,79,19567
34,Stage 10,77,3133
35,Charges and Specs,72,12957
36,Season Eight,72,4442
37,The Tagger,69,15394
38,HalloVeen,66,14735
39,The Slump,65,21408
40,Jake-Amy Relationship,63,101462
