rank,title,inbound_links,page_chars
1,Buffy Summers,2343,138640
2,Angel,1935,139031
3,Willow Rosenberg,1388,90065
4,Spike,1300,147820
5,Rupert Giles,1221,55560
6,Alexander Harris,1136,61112
7,Cordelia Chase,911,46213
8,Faith Lehane,670,66735
9,Dawn Summers,647,42547
10,Wesley Wyndam-Pryce,596,45192
11,Anya Jenkins,492,53904
12,Charles Gunn,464,31351
13,Winifred Burkle,448,36948
14,Drusilla,410,38378
15,Tara Maclay,360,48854
16,Joyce Summers,354,25051
17,Daniel Osbourne,343,41217
18,Illyria,334,55143
19,Darla,312,47311
20,Krevlornswath of the Deathwok Clan,311,19259
21,Connor,310,44657
22,Andrew Wells,295,48453
23,Riley Finn,279,53748
24,Harmony Kendall,266,33429
25,First Evil,262,18174
26,Master,257,31942
27,Richard Wilkins,203,20253
28,Warren Mears,195,22200
29,Amy Madison,192,17870
30,Jonathan Levinson,191,20808
31,Glorificus,189,31858
32,Allen Francis Doyle,163,15501
33,Kennedy,162,18322
34,Jasmine,161,31423
35,Lilah Morgan,157,33146
36,Twilight,157,12930
37,Dracula,153,28668
38,Jennifer Calendar,149,11103
39,Lindsey McDonald,148,27145
40,D'Hoffryn,139,15384
