rank,title,inbound_links,page_chars
1,Jonas Kahnwald,140,127779
2,Claudia Tiedemann,105,31011
3,Ulrich Nielsen,102,15240
4,Charlotte Doppler,91,15399
5,Helge Doppler,81,10244
6,Magnus Nielsen,76,16994
7,Franziska Doppler,74,15144
8,Hannah Kahnwald,72,42745
9,Regina Tiedemann,72,19868
10,Egon Tiedemann,70,27954
11,Martha Nielsen,69,12765
12,Elisabeth Doppler,68,7823
13,Mads Nielsen,68,6001
14,Katharina Nielsen,66,20120
15,Mikkel Nielsen,65,28784
16,Tronte Nielsen,65,20295
17,Bartosz Tiedemann,64,20756
18,Peter Doppler,61,17891
19,Aleksander Tiedemann,58,11137
20,H.G. Tannhaus,57,5739
21,Agnes Nielsen,50,7486
22,Noah,50,14831
23,Ines Kahnwald,47,14708
24,Erik Obendorf,46,4830
25,Bernd Doppler,44,10253
26,Jana Nielsen,43,4219
27,Doris Tiedemann,33,3405
28,Torben Wöller,33,5454
29,Adam,30,10188
30,Silja Tiedemann,30,9587
31,Bernadette Wöller,29,5441
32,Yasin Friese,29,3376
33,Clausen,23,6124
34,Greta Doppler,23,3131
35,Martha Nielsen/Eva's World,23,44846
36,Daniel Kahnwald,22,4591
37,Claudia Tiedemann (Eva's World),18,4033
38,Jürgen Obendorf,18,2554
39,Hermann Albers,15,2572
40,Egon Tiedemann (Eva's World),14,3826
