rank,title,inbound_links,page_chars
1,Edward Elric,324,35029
2,Alphonse Elric,289,23867
3,Roy Mustang,248,30206
4,Scar,212,23530
5,King Bradley,169,23596
6,Envy,160,19293
7,Winry Rockbell,158,18840
8,Father,156,41793
9,Lust,152,11425
10,Riza Hawkeye,146,20990
11,Gluttony,141,18485
12,Alex Louis Armstrong,135,39652
13,Maes Hughes,129,17530
14,Greed,126,18076
15,Van Hohenheim,121,22613
16,Izumi Curtis,111,27834
17,Maria Ross,86,19893
18,Solf J. Kimblee,86,14627
19,Tim Marcoh,86,10419
20,Ling Yao,81,62287
21,Lan Fan,80,8781
22,Jean Havoc,79,12430
23,May Chang,79,26547
24,Trisha Elric,76,12408
25,Vato Falman,70,19490
26,Shou Tucker,66,15883
27,Barry the Chopper,65,28572
28,Yoki,65,4986
29,Fu,60,15966
30,Dante,59,26603
31,Nina Tucker,57,19076
32,Conqueror of Shamballa,56,23230
33,Heymans Breda,55,11490
34,Pinako Rockbell,55,20963
35,Sloth,55,13617
36,Sig Curtis,53,11109
37,Olivier Mira Armstrong,51,19742
38,Grumman,49,11581
39,Basque Grand,48,11842
40,Denny Brosh,48,3820
