rank,title,inbound_links,page_chars
1,Rachel Greene,530,78528
2,Chandler Bing,482,73309
3,Phoebe Buffay,473,51202
4,Gunther,165,11307
5,Season 3,105,5613
6,Emily Waltham,99,8204
7,Season 7,99,4566
8,Emma Geller-Greene,93,9628
9,Season 5,93,7079
10,Season 10,91,4523
11,Season 4,91,9090
12,Ben Geller,89,6861
13,Season 6,87,5115
14,Season 8,87,5130
15,Season 9,86,4527
16,Jack Geller,85,8522
17,Carol Willick,84,16710
18,Judy Geller,75,6523
19,Mike Hannigan,74,7438
20,Michael Tribbiani,72,4732
21,Gina Tribbiani,68,3461
22,Ursula Buffay,68,12480
23,Susan Bunch,54,4869
24,Richard Burke,51,11203
25,Janice Litman-Goralnik,49,23601
26,Alex Garrett,46,3837
27,Barry Farber,44,2284
28,Elizabeth Stevens,40,4652
29,Friends: The Reunion,40,8808
30,Bobbie Morganstern,39,1637
31,Dr. Drake Ramoray,39,3898
32,Sandra Greene,39,10281
33,Julie,36,3320
34,Amy Greene,34,5098
35,Kathy,34,4321
36,Alice Knight,32,2759
37,Paul Stevens,31,10123
38,Season 1 (Friends),31,5737
39,Chloe,30,2348
40,Marcel,30,3532
