rank,title,inbound_links,page_chars
1,Daenerys Targaryen,754,186339
2,Tyrion Lannister,735,166358
3,Jon Snow,640,166521
4,Jaime Lannister,631,145318
5,Cersei Lannister,602,136042
6,Eddard Stark,590,69483
7,Stannis Baratheon,577,89950
8,Tywin Lannister,558,90240
9,Robert Baratheon,556,62720
10,Sansa Stark,545,138398
11,Arya Stark,529,138310
12,Robb Stark,494,81622
13,Bran Stark,489,62220
14,Joffrey Baratheon,489,79835
15,Varys,440,79657
16,Catelyn Stark,432,59198
17,Rhaenyra Targaryen,422,120645
18,Jorah Mormont,411,79959
19,Theon Greyjoy,399,105880
20,Petyr Baelish,397,76954
21,Samwell Tarly,388,73035
22,Aegon I Targaryen,384,33292
23,Aerys II Targaryen,374,41863
24,Brienne of Tarth,340,70050
25,Sandor Clegane,326,68622
26,Davos Seaworth,325,74438
27,Daemon Targaryen,324,113681
28,Bronn,310,60384
29,Gregor Clegane,305,52748
30,Viserys I Targaryen,302,89800
31,Ramsay Bolton,293,79557
32,Aegon II Targaryen,283,63343
33,Margaery Tyrell,276,53152
34,Melisandre,264,62041
35,Renly Baratheon,264,51241
36,Barristan Selmy,262,52020
37,Tommen Baratheon,254,43287
38,Roose Bolton,245,48861
39,Rhaegar Targaryen,235,60603
40,Yara Greyjoy,227,48947
