rank,title,inbound_links,page_chars
1,Rory Gilmore,277,28884
2,Lorelai Gilmore,263,32988
3,Luke Danes,215,17164
4,Emily Gilmore,169,10155
5,Sookie St. James,167,7947
6,Lane Kim,153,27318
7,Kirk Gleason,147,11915
8,Richard Gilmore,139,9171
9,Paris Geller,135,17739
10,Michel Gerard,119,4908
11,Miss Patty,99,3033
12,Logan Huntzberger,96,14678
13,Dean Forester,95,21859
14,Taylor Doose,85,3131
15,Jackson Belleville,80,8540
16,Jess Mariano,80,21425
17,Mrs. Kim,74,5150
18,Babette Dell,73,3065
19,Christopher Hayden,72,14968
20,Zack Van Gerbig,66,4945
21,Brian Fuller,49,2009
22,Madeline Lynn,46,4177
23,Louise Grant,45,4580
24,Gypsy,41,3225
25,April Nardini,38,5337
26,Doyle McMaster,38,3661
27,Liz Danes,36,5934
28,Andrew,35,2038
29,Morey Dell,35,2062
30,Town Troubadour,32,2522
31,Mitchum Huntzberger,31,2937
32,Caesar,30,1639
33,Max Medina,28,5037
34,T.J.,28,2851
35,Colin McRea,27,3313
36,Finn,27,3198
37,Tristin Dugray,27,12366
38,Gil,25,2971
39,Jason Stiles,25,6004
40,Lulu Kuschner,25,1713
