rank,title,inbound_links,page_chars
1,Meredith Grey,1069,240552
2,Miranda Bailey,1003,100231
3,Richard Webber,917,102001
4,Alex Karev,811,105591
5,Owen Hunt,809,119812
6,Derek Shepherd,701,62594
7,Cristina Yang,615,128660
8,Amelia Shepherd,613,184657
9,Callie Torres,590,98016
10,Jackson Avery,578,76914
11,Jo Wilson,545,115399
12,Arizona Robbins,543,101082
13,Ben Warren,500,71009
14,Addison Forbes Montgomery,482,66993
15,Teddy Altman,440,134260
16,April Kepner,425,97240
17,Maggie Pierce,410,50569
18,Mark Sloan,368,33171
19,Izzie Stevens,342,42801
20,George O'Malley,327,38588
21,Lexie Grey,290,37329
22,Levi Schmitt,283,63409
23,Andrew DeLuca,265,89635
24,Atticus Lincoln,260,50181
25,Stephanie Edwards,252,25170
26,Sam Bennett,235,12827
27,Violet Turner,231,21513
28,Carina DeLuca,226,30760
29,Catherine Fox,215,67151
30,Taryn Helm,205,54339
31,Winston Ndugu,203,33701
32,Cooper Freedman,202,11321
33,Preston Burke,198,15057
34,Pete Wilder,197,19768
35,Naomi Bennett,182,13286
36,Lucas Adams,166,16411
37,Jules Millin,161,18420
38,Zola Grey Shepherd,161,40595
39,Benson Kwan,152,6056
40,Simone Griffith,147,8620
