rank,title,inbound_links,page_chars
1,John Locke,554,96133
2,Jacob,530,32486
3,Jack Shephard,435,68148
4,Charles Widmore,400,35452
5,Benjamin Linus,395,104445
6,Eko,394,38034
7,Kate Austen,364,63599
8,Richard Alpert,361,62118
9,The Man in Black,351,78694
10,Daniel Faraday,325,53764
11,Sayid Jarrah,323,53871
12,Christian Shephard,320,33251
13,Claire Littleton,284,72614
14,Charlie Pace,276,36807
15,Desmond Hume,261,70136
16,Sun-Hwa Kwon,251,39592
17,Danielle Rousseau,248,34261
18,Jin-Soo Kwon,248,42991
19,Michael Dawson,244,41328
20,Frank Lapidus,230,42656
21,Paulo,227,19170
22,Juliet Burke,220,41870
23,Anthony Cooper,211,13093
24,"James ""Sawyer"" Ford",205,106335
25,"Hugo ""Hurley"" Reyes",196,86795
26,Vincent,193,19377
27,Pierre Chang,188,27740
28,Eloise Hawking,182,25468
29,Miles Straume,180,64994
30,Rachel Blake,180,17283
31,Alvar Hanso,174,19980
32,Charlotte Lewis,171,39896
33,Shannon Rutherford,167,39683
34,Ethan Rom,164,20853
35,Ana Lucia Cortez,150,26493
36,Walt Lloyd,150,33689
37,Boone Carlyle,148,28868
38,Edward Mars,148,9115
39,Yemi,145,6016
40,Roger Linus,121,9778
