rank,title,inbound_links,page_chars
1,Don Draper,166,25445
2,Roger Sterling,133,16142
3,Peggy Olson,124,14644
4,Pete Campbell,122,13282
5,Joan Holloway,117,51347
6,Betty Hofstadt,109,16830
7,Harry Crane,104,6234
8,Ken Cosgrove,100,7060
9,Sally Draper,98,12401
10,Bertram Cooper,91,7263
11,Bobby Draper,73,999
12,Lane Pryce,63,12016
13,Megan Calvet,59,15325
14,Paul Kinsey,53,4663
15,Salvatore Romano,53,2680
16,Henry Francis,50,7246
17,Trudy Vogel,46,5177
18,Stan Rizzo,35,4317
19,Herman Phillips,33,6492
20,Jane Siegel,31,4882
21,Allison,29,2958
22,Freddy Rumsen,29,3177
23,Hildy,23,1320
24,Mona Sterling,23,3675
25,Greg Harris,22,8644
26,Michael Ginsberg,22,4616
27,Carla,21,2726
28,Francine Hanson,21,2107
29,Rachel Menken,21,2052
30,Anna Draper,19,4369
31,Glen Bishop,19,5891
32,Ted Chaough,19,2375
33,Eugene Hofstadt,17,1755
34,Ida Blankenship,17,2404
35,Faye Miller,16,5912
36,Lois Sadler,16,3988
37,Margaret Sterling,16,3263
38,Adam Whitman,15,4998
39,Anita Olson Respola,14,2196
40,Katherine Olson,14,1852
