rank,title,inbound_links,page_chars
1,James T. Kirk,5293,212593
2,Jean-Luc Picard,5093,195165
3,Spock,4639,183699
4,Data,3765,128673
5,Kathryn Janeway,3153,174549
6,Benjamin Sisko,2991,99596
7,Worf,2797,169298
8,William T. Riker,2759,136418
9,Leonard McCoy,2535,60771
10,Jonathan Archer,2429,130023
11,Miles O'Brien,2221,73392
12,Julian Bashir,2200,64381
13,Tom Paris,2157,115902
14,Quark,2108,75640
15,Geordi La Forge,2052,63050
16,Seven of Nine,1944,111386
17,Chakotay,1864,180331
18,Beverly Crusher,1862,85238
19,Kira Nerys,1857,70250
20,Montgomery Scott,1845,71234
21,Odo,1843,79011
22,Deanna Troi,1842,123050
23,Tuvok,1731,87060
24,B'Elanna Torres,1674,68604
25,Jadzia Dax,1647,50425
26,Harry Kim,1597,51295
27,Neelix,1577,46544
28,Nyota Uhura,1375,100458
29,T'Pol,1321,85381
30,Hikaru Sulu,1238,86050
31,Christopher Pike,1146,138821
32,Q,1118,52924
33,Beckett Mariner,1098,56912
34,Phlox,1063,58072
35,Jake Sisko,1032,33429
36,Michael Burnham,1032,83208
37,Wesley Crusher,1007,60876
38,Pavel Chekov,1004,46214
39,Malcolm Reed,950,42629
40,Brad Boimler,935,43667
