rank,title,inbound_links,page_chars
1,Izuku Midoriya,1418,106907
2,Heroes,1182,40187
3,Toshinori Yagi,1155,59214
4,Katsuki Bakugo,1075,78574
5,U.A. High School,945,16146
6,Tomura Shigaraki,933,88165
7,Shota Aizawa,922,35412
8,Shoto Todoroki,913,58664
9,All For One,905,81434
10,Villains,853,26551
11,Ochaco Uraraka,756,46768
12,One For All,721,93606
13,Enji Todoroki,700,47637
14,Tenya Ida,696,35847
15,Eijiro Kirishima,691,31755
16,Class 1-A,651,17284
17,Tsuyu Asui,622,28201
18,Kohei Horikoshi,621,37745
19,Momo Yaoyorozu,608,28311
20,Fumikage Tokoyami,605,32270
21,My Hero Academia (Manga),586,14393
22,Denki Kaminari,575,28533
23,League of Villains,564,50108
24,Final War,554,168633
25,Kyoka Jiro,552,24082
26,Minoru Mineta,548,27957
27,Mina Ashido,515,24166
28,Dabi,509,51060
29,Mezo Shoji,502,24900
30,Hanta Sero,498,19994
31,Yuga Aoyama,492,30082
32,Ultimate Move,466,12993
33,Mashirao Ojiro,460,19947
34,Himiko Toga,437,41052
35,Hizashi Yamada,436,16524
36,Rikido Sato,422,13838
37,Paranormal Liberation War,417,32495
38,Toru Hagakure,409,20953
39,Keigo Takami,396,37282
40,Koji Koda,391,16315
