rank,title,inbound_links,page_chars
1,Leslie Knope,345,29791
2,Ron Swanson,222,38034
3,Tom Haverford,196,18233
4,Andy Dwyer,194,22798
5,Ben Wyatt,194,19996
6,April Ludgate,185,14680
7,Ann Perkins,166,11892
8,Chris Traeger,133,12665
9,Season 5,117,2769
10,Season 2,116,12439
11,Donna Meagle,107,9127
12,Season 6,100,1879
13,Season 4,99,15507
14,Season 3,98,27368
15,Season 7,91,1764
16,Mark Brendanawicz,80,11703
17,One Last Ride,47,11231
18,Season 1,42,20433
19,Jean-Ralphio Saperstein,34,4775
20,Marlene Griggs-Knope,32,4610
21,Jeremy Jamm,29,4770
22,Garry Gergich,24,17545
23,Bobby Newport,23,4214
24,Jennifer Barkley,23,2884
25,Moving Up,23,10705
26,Craig Middlebrooks,22,2456
27,Joan Callamezzo,22,10957
28,The Banquet,22,5031
29,April and Andy's Fancy Party,21,10153
30,Are You Better Off?,21,5464
31,A Parks and Recreation Special,21,1159
32,Christmas Scandal,21,8526
33,Harvest Festival,21,9685
34,Sweetums,21,5937
35,Wendy Haverford,21,2230
36,Li'l Sebastian,20,5088
37,Pilot,20,8958
38,Time Capsule,20,9196
39,Perd Hapley,19,4444
40,The Master Plan,19,7415
