rank,title,inbound_links,page_chars
1,Sex Education,495,28430
2,Season 3,349,15358
3,Season 2,330,11358
4,Season 1,257,8793
5,Season 4,220,13897
6,Otis Milburn,144,53918
7,Episode 3.7,142,9180
8,Episode 3.1,140,7745
9,Episode 3.8,137,9038
10,Maeve Wiley,136,58556
11,Episode 2.8,134,11250
12,Episode 3.4,134,7300
13,Episode 2.6,132,8926
14,Episode 3.2,131,7619
15,Episode 2.7,129,10970
16,Episode 4.8,127,13005
17,Episode 3.5,122,6691
18,Episode 3.3,118,7728
19,Episode 7,118,10090
20,Episode 4.6,118,10164
21,Episode 2.1,117,9321
22,Episode 3.6,116,7870
23,Eric Effiong,115,26124
24,Episode 8,114,7487
25,Adam Groff,111,30364
26,Episode 2.3,111,7959
27,Episode 4.3,110,8371
28,Episode 2.5,109,7866
29,Episode 2.2,108,9151
30,Episode 6,107,7968
31,Jean Milburn,107,21911
32,Episode 2.4,106,6967
33,Episode 4.4,106,8162
34,Aimee Gibbs,105,30319
35,Episode 4.5,101,9198
36,Episode 3,98,22016
37,Episode 4.2,98,6885
38,Episode 4.1,97,9788
39,Episode 5,97,10401
40,Episode 4.7,96,10252
