rank,title,inbound_links,page_chars
1,Seong Gi-hun,738,130716
2,Soldiers,684,5465
3,Hwang In-ho,410,45357
4,Im Jeong-dae,293,35333
5,The Recruiter,261,33048
6,Managers,259,9498
7,Piggy bank,254,3530
8,Lee Myung-gi,250,67645
9,Jang Deok-su,246,37287
10,Kang Sae-byeok,228,29120
11,Thanos,226,42365
12,Oh Il-nam,208,36522
13,Jang Geum-ja,203,57341
14,Nam-gyu,202,52273
15,Park Yong-sik,195,32320
16,Cho Sang-woo,190,47806
17,Cho Hyun-ju,175,61882
18,Seon-nyeo,172,29355
19,Young-hee,166,20400
20,Park Jung-bae,140,112782
21,Kang Dae-ho,135,47627
22,Kim Yeong-sam,135,54272
23,Kim Jun-hee,130,34877
24,Hwang Jun-ho,129,34312
25,Park Min-su,124,51037
26,Player 324 (33rd Squid Game),120,8285
27,Player 250 (33rd Squid Game),117,7234
28,Kang Mi-na,116,13751
29,Han Mi-nyeo,113,20668
30,Player 306 (33rd Squid Game),112,5584
31,Park Gyeong-seok,111,56406
32,Park Mi-hwa,104,17188
33,Byeong-gi,102,21720
34,Hiders,102,16363
35,Kim Gi-min,100,48878
36,Player 271 (33rd Squid Game),98,8726
37,Kang No-eul,97,38660
38,Player 096 (37th Squid Game),91,47142
39,Seong Gi-hun's team,91,47809
40,Kim Jun-hee's baby,90,8562
