rank,title,inbound_links,page_chars
1,Eleven,396,174198
2,Will Byers,348,208674
3,Mike Wheeler,301,156981
4,Dustin Henderson,296,119227
5,Jim Hopper,270,109275
6,Lucas Sinclair,264,119812
7,Joyce Byers,251,76555
8,Max Mayfield,240,139964
9,Nancy Wheeler,231,134656
10,Jonathan Byers,216,144207
11,Steve Harrington,214,111106
12,Vecna,211,145184
13,The Mind Flayer,181,65992
14,Martin Brenner,171,61086
15,Robin Buckley,161,87995
16,Erica Sinclair,136,56806
17,Billy Hargrove,135,45844
18,Murray Bauman,133,49839
19,Eddie Munson,122,68802
20,Karen Wheeler,115,51049
21,Holly Wheeler,104,39996
22,Sam Owens,100,34364
23,Barbara Holland,99,21738
24,Dungeons & Dragons,95,23549
25,Kali Prasad,91,31735
26,Scott Clarke,85,12201
27,Chrissy Cunningham,77,28722
28,Jason Carver,77,26634
29,Ted Wheeler,74,28804
30,Bob Newby,73,21883
31,Terry Ives,63,16245
32,Calvin Powell,59,11686
33,Patrick McKinney,56,10065
34,Argyle,55,37252
35,Jack Sullivan,55,16789
36,Vecna's curse,55,13207
37,Suzie Bingham,54,19905
38,The Keys,54,10929
39,Derek Turnbow,52,36330
40,Dr. Kay,52,9381
