rank,title,inbound_links,page_chars
1,Logan Roy,101,49307
2,Kendall Roy,97,39326
3,Roman Roy,87,24886
4,Greg Hirsch,79,22626
5,Siobhan Roy,73,31962
6,Connor Roy,71,12854
7,Tom Wambsgans,70,23136
8,Gerri Kellman,61,9458
9,Frank Vernon,58,5577
10,Karolina Novotney,54,4235
11,Willa Ferreyra,47,6013
12,Karl Muller,44,3856
13,Marcia Roy,43,9611
14,Stewy Hosseini,43,4721
15,Jess Jordan,38,4784
16,Hugo Baker,34,3199
17,Ewan Roy,32,8282
18,Rava Roy,32,4314
19,Lawrence Yee,30,2885
20,Sophie Roy,29,3273
21,Caroline Collingwood,28,4568
22,Sandy Furness,28,3436
23,Iverson Roy,25,4354
24,Nate Sofrelli,25,3825
25,Rhea Jarrell,24,11614
26,Gil Eavis,22,4066
27,Naomi Pierce,22,3614
28,Cyd Peach,20,1155
29,Lukas Matsson,20,1983
30,Jamie Laird,17,2855
31,Lester McClintock,17,1406
32,Nan Pierce,17,7460
33,Tabitha Hayes,15,3009
34,Andrew Dodds,12,2582
35,Marianne Hirsch,12,1336
36,Comfrey,11,488
37,Colin Stiles,10,5807
38,Eduard Asgarov,9,2810
39,Jeryd Mencken,9,537
40,Rose Roy,9,1206
