rank,title,inbound_links,page_chars
1,Tenth Doctor,7331,117104
2,Eleventh Doctor,6435,138222
3,Fourth Doctor,6252,91846
4,Eighth Doctor,5860,120720
5,Seventh Doctor,5833,81801
6,First Doctor,5276,323021
7,The Doctor,5223,260156
8,Sixth Doctor,4806,80415
9,Fifth Doctor,4501,62560
10,Twelfth Doctor,4334,136735
11,Third Doctor,4214,75420
12,Second Doctor,3691,69994
13,Ninth Doctor,3155,79585
14,Sarah Jane Smith,3131,147229
15,Rose Tyler,2951,154944
16,Ace,2887,99388
17,Bernice Summerfield,2646,148502
18,Thirteenth Doctor,2624,104021
19,Jack Harkness,2486,175993
20,Amy Pond,2478,96988
21,Clara Oswald,2223,196578
22,Peri Brown,1936,133433
23,Susan Foreman,1901,114303
24,Alistair Gordon Lethbridge-Stewart,1885,119579
25,Ian Chesterton,1861,62216
26,Donna Noble,1848,75323
27,River Song,1741,149327
28,Barbara Wright,1686,51903
29,Martha Jones,1663,57606
30,Rory Williams,1645,81976
31,Jamie McCrimmon,1626,71859
32,Leela,1612,124453
33,Davros,1561,80113
34,Jo Grant,1487,61102
35,Romana II,1467,72674
36,Tegan Jovanka,1429,110610
37,Nyssa,1426,87120
38,Iris Wildthyme,1377,59333
39,The Master,1174,97079
40,War Doctor,1136,69227
