rank,title,inbound_links,page_chars
1,Ted Lasso,192,23321
2,Jamie Tartt,132,25113
3,Roy Kent,130,24043
4,Rebecca Welton,127,28978
5,Keeley Jones,113,21869
6,Dani Rojas,98,8765
7,Leslie Higgins,95,13425
8,Sam Obisanya,94,14615
9,Isaac McAdoo,93,13426
10,Nathan Shelley,86,14398
11,Colin Hughes,79,16570
12,Trent Crimm,73,18510
13,Richard Montlaur,65,6430
14,Thierry Zoreaux,65,8308
15,Rupert Mannion,62,14775
16,Jan Maas,51,6677
17,Moe Bumbercatch,46,5677
18,Arlo White,45,4691
19,Sharon Fieldstone,43,12974
20,Zava,43,10734
21,Lloyd,37,4405
22,Will Kitman,36,6516
23,Henry Lasso,32,8613
24,Michelle Lasso,30,7316
25,Tommy Winchester,30,6152
26,Chris Powell,28,3850
27,Phoebe,28,10534
28,Paul Reynolds,25,5738
29,Robbie Roberts,24,5674
30,George Cartrick,23,8311
31,Bex,22,4859
32,Flo Collins,20,9042
33,Jack Dawkins,20,3006
34,Gareth Canterbury,18,2716
35,Babatunde,16,2017
36,Declan Cockburn,16,5285
37,Jane Payne,16,6581
38,Julie Higgins,16,4669
39,Tyler Shannon,16,2505
40,James Tartt,15,7295
