rank,title,inbound_links,page_chars
1,Dwight Schrute,563,57726
2,Michael Scott,527,73189
3,Jim Halpert,515,38782
4,Pam Beesly,459,37477
5,Kevin Malone,387,43270
6,Andy Bernard,378,91445
7,Angela Martin,369,49342
8,Ryan Howard,342,40680
9,Oscar Martinez,338,15615
10,Creed Bratton,313,44367
11,Stanley Hudson,308,12569
12,Kelly Kapoor,300,30209
13,Meredith Palmer,300,17566
14,Toby Flenderson,272,30398
15,Darryl Philbin,229,32613
16,Erin Hannon,227,31981
17,Jan Levinson,147,18214
18,David Wallace,137,19106
19,Gabe Lewis,118,18026
20,Karen Filippelli,100,9132
21,Holly Flax,90,15167
22,Robert California,88,43079
23,Roy Anderson,80,8970
24,Nellie Bertram,76,24678
25,Bob Vance,65,5744
26,Todd Packer,64,9567
27,Jo Bennett,60,5803
28,Charles Miner,52,5358
29,David Brent,49,2896
30,Pete Miller,41,20616
31,Clark Green,40,17328
32,Deangelo Vickers,39,5427
33,Robert Lipton,39,6520
34,Gareth Keenan,38,1662
35,Mose Schrute,36,10911
36,Tim Canterbury,36,1419
37,Dawn Tinsley,33,1963
38,Josh Porter,33,3042
39,Nate Nickerson,33,6275
40,Helene Beesly,31,4799
