rank,title,inbound_links,page_chars
1,Zombies,6298,123751
2,AMC,5463,13026
3,Image Comics,1421,16758
4,Daryl Dixon (TV Universe),1378,601581
5,Rick Grimes (TV Universe),1235,501855
6,Rick Grimes (Comic Universe),927,230589
7,Carol Peletier (TV Universe),915,334138
8,Maggie Rhee (TV Universe),891,322130
9,Negan Smith (TV Universe),877,365754
10,Michonne Grimes (TV Universe),827,285063
11,Morgan Jones (TV Universe),750,420034
12,Michonne Hawthorne (Comic Universe),699,129436
13,Carl Grimes (Comic Universe),616,87947
14,Carl Grimes (TV Series),596,143994
15,Glenn Rhee (TV Series),595,102138
16,Alicia Clark (Fear),545,295988
17,Andrea Grimes (Comic Universe),535,101275
18,Clementine (Telltale),535,285549
19,Gabriel Stokes (TV Universe),524,163979
20,Eugene Porter (TV Series),516,183309
21,Rosita Espinosa (TV Series),491,153029
22,Glenn Rhee (Comic Universe),485,55315
23,Victor Strand (Fear),478,314064
24,Aaron (TV Series),463,151532
25,Dwight (TV Universe),460,254449
26,Negan Smith (Comic Universe),459,78454
27,Maggie Greene (Comic Universe),452,55903
28,Madison Clark (Fear),444,351309
29,Judith Grimes (TV Universe),421,122996
30,Ezekiel Sutton (TV Series),394,142377
31,Daniel Salazar (Fear),384,248381
32,Tara Chambler (TV Series),378,77905
33,Nicholas Clark (Fear),375,128254
34,Hershel Greene (TV Series),372,60533
35,Paul Monroe (Comic Universe),364,61841
36,Brian Blake (Comic Universe),353,52633
37,Merle Dixon (TV Universe),352,65500
38,Shane Walsh (TV Universe),352,80087
39,Philip Blake (TV Series),349,71489
40,Sasha Williams (TV Series),344,72970
