show,character,inbound_links,clean_text_chars
Avatar: The Last Airbender,Aang,1183,61961
Avatar: The Last Airbender,Katara,810,58239
Avatar: The Last Airbender,Zuko,797,63182
Avatar: The Last Airbender,Sokka,784,41599
Avatar: The Last Airbender,Toph Beifong,592,49794
Avatar: The Last Airbender,Iroh,482,64231
Avatar: The Last Airbender,Azula,413,68702
Avatar: The Last Airbender,Korra,616,75353
Avatar: The Last Airbender,Tenzin,347,61211
Avatar: The Last Airbender,Asami Sato,298,35265
Avatar: The Last Airbender,Lin Beifong,253,75113
Avatar: The Last Airbender,Bolin,376,49512
Grey's Anatomy,Meredith Grey,1069,208456
Grey's Anatomy,Miranda Bailey,1003,84341
Grey's Anatomy,Richard Webber,917,89690
Grey's Anatomy,Alex Karev,811,86753
Grey's Anatomy,Owen Hunt,809,105838
Grey's Anatomy,Derek Shepherd,701,46041
Grey's Anatomy,Cristina Yang,615,112872
Grey's Anatomy,Amelia Shepherd,613,154675
Grey's Anatomy,Callie Torres,590,82263
Grey's Anatomy,Jackson Avery,578,65020
Grey's Anatomy,Jo Wilson,545,98908
Grey's Anatomy,Arizona Robbins,543,87678
Buffy the Vampire Slayer,Buffy Summers,2343,101985
Buffy the Vampire Slayer,Angel,1935,108919
Buffy the Vampire Slayer,Willow Rosenberg,1388,65378
Buffy the Vampire Slayer,Spike,1300,104640
Buffy the Vampire Slayer,Rupert Giles,1221,37051
Buffy the Vampire Slayer,Alexander Harris,1136,42152
Buffy the Vampire Slayer,Cordelia Chase,911,29089
Buffy the Vampire Slayer,Faith Lehane,670,47170
Buffy the Vampire Slayer,Dawn Summers,647,25698
Buffy the Vampire Slayer,Wesley Wyndam-Pryce,596,29627
Buffy the Vampire Slayer,Anya Jenkins,492,38083
Buffy the Vampire Slayer,Winifred Burkle,448,26544
Game of Thrones,Daenerys Targaryen,754,136446
Game of Thrones,Tyrion Lannister,735,105506
Game of Thrones,Jon Snow,640,106823
Game of Thrones,Jaime Lannister,631,86834
Game of Thrones,Cersei Lannister,602,87718
Game of Thrones,Sansa Stark,545,87759
Game of Thrones,Arya Stark,529,83158
Game of Thrones,Theon Greyjoy,399,52601
Game of Thrones,Brienne of Tarth,340,42275
Game of Thrones,Samwell Tarly,388,54306
Game of Thrones,Sandor Clegane,326,40754
