show,wiki_name,url,articles,pages,edits,active_users,error
Doctor Who,Tardis,https://tardis.fandom.com,111233,335179,3851988,99,
Star Trek,Memory Alpha,https://memory-alpha.fandom.com,66477,226466,3494920,229,
Pokémon (anime),Bulbapedia,https://bulbapedia.bulbagarden.net,64264,316650,4636861,555,
Sesame Street,Muppet Wiki,https://muppet.fandom.com,53029,407867,1871142,170,
The Simpsons,Wikisimpsons,https://simpsonswiki.com,50219,273232,1490883,34,
NCIS,NCIS Database,https://ncis.fandom.com,30238,49606,348580,22,
Coronation Street,Coronation Street Wiki,https://coronationstreet.fandom.com,27700,62874,542107,22,
Power Rangers,RangerWiki,https://powerrangers.fandom.com,26535,175837,1731289,198,
Paw Patrol,PAW Patrol Wiki,https://pawpatrol.fandom.com,22568,282026,688002,126,
SpongeBob SquarePants,Encyclopedia SpongeBobia,https://spongebob.fandom.com,19474,1562703,5363873,541,
Scooby-Doo,Scoobypedia,https://scoobydoo.fandom.com,19324,87719,566261,94,
Thomas & Friends,Thomas the Tank Engine Wiki,https://ttte.fandom.com,18381,398546,2772099,450,
Kamen Rider,Kamen Rider Wiki,https://kamenrider.fandom.com,16955,144641,1116402,231,
EastEnders,EastEnders Wiki,https://eastenders.fandom.com,16677,73550,587896,60,
The Walking Dead,Walking Dead Wiki,https://walkingdead.fandom.com,15742,454469,1985397,89,
Stargate,SGCommand,https://stargate.fandom.com,15320,44448,538463,38,
Digimon,DigimonWiki,https://digimon.fandom.com,14544,96041,676758,67,
Arrowverse,Arrowverse Wiki,https://arrow.fandom.com,14522,135471,945385,73,
Big Brother,Big Brother Wiki,https://bigbrother.fandom.com,14295,97483,690511,129,
Law & Order,Law and Order,https://lawandorder.fandom.com,14085,34659,294928,68,
The Witcher,Witcher Wiki,https://witcher.fandom.com,12336,104569,646279,42,
Survivor,Survivor Wiki,https://survivor.fandom.com,12237,185156,851735,90,
Grey's Anatomy,Grey's Anatomy Universe Wiki,https://greysanatomy.fandom.com,11591,85672,440756,21,
Dragon Ball,Dragon Ball Wiki,https://dragonball.fandom.com,9583,468962,2258169,160,
Ben 10,Ben 10 Wiki,https://ben10.fandom.com,8222,513007,1573049,121,
One Piece,One Piece Wiki,https://onepiece.fandom.com,8132,296722,2127676,234,
Ninjago,Ninjago Wiki,https://ninjago.fandom.com,8090,210308,1208314,285,
Family Guy,Family Guy Wiki,https://familyguy.fandom.com,8048,41371,262736,68,
Naruto,Narutopedia,https://naruto.fandom.com,8026,240989,1460623,91,
Buffy the Vampire Slayer,Buffyverse Wiki,https://buffy.fandom.com,7771,34720,310181,16,
Lost,Lostpedia,https://lostpedia.fandom.com,7500,225281,1129371,15,
South Park,South Park Public Library,https://southpark.fandom.com,7074,123026,616537,96,
House,House Wiki,https://house.fandom.com,6604,16123,74770,22,
Battlestar Galactica,Battlestar Wiki,https://en.battlestarwiki.org,6201,34786,260093,4,
Charmed,Charmed,https://charmed.fandom.com,6131,79554,510895,20,
The X-Files,X-Files Wiki,https://x-files.fandom.com,6071,17724,194086,14,
The Loud House,The Loud House Encyclopedia,https://theloudhouse.fandom.com,6033,606695,1370128,133,
Supernatural,Supernatural Wiki,https://supernatural.fandom.com,5978,67433,454971,38,
Game of Thrones,Wiki of Westeros,https://gameofthrones.fandom.com,5600,66925,744214,94,
American Dad!,American Dad Wikia,https://americandad.fandom.com,5588,19151,108614,32,
Winx Club,Winx Club Wiki,https://winx.fandom.com,5290,75511,640053,51,
Fairy Tail,Fairy Tail Wiki,https://fairytail.fandom.com,5124,265075,1070860,31,
Smallville,Smallville Wiki,https://smallville.fandom.com,4571,50468,360336,15,
Adventure Time,Adventure Time Wiki,https://adventuretime.fandom.com,4470,283151,905670,53,
Criminal Minds,Criminal Minds Wiki,https://criminalminds.fandom.com,4305,30775,237167,33,
Bob's Burgers,Bob's Burgers Wiki,https://bobsburgers.fandom.com,4170,23152,138761,24,
Miraculous Ladybug,Miraculous Ladybug Wiki,https://miraculousladybug.fandom.com,4151,355637,1351757,243,
Phineas and Ferb,Phineas and Ferb Wiki,https://phineasandferb.fandom.com,3964,155875,834445,96,
Avatar: The Last Airbender,Avatar Wiki,https://avatar.fandom.com,3882,1190314,3031060,99,
Once Upon a Time,Once Upon a Time Wiki,https://onceuponatime.fandom.com,3746,279702,1037319,15,
Rick and Morty,Rick and Morty Wiki,https://rickandmorty.fandom.com,3687,37132,122214,161,
Futurama,"The Infosphere, the Futurama Wiki",https://theinfosphere.org,3662,20912,169939,11,
My Little Pony: Friendship Is Magic,My Little Pony Friendship is Magic Wiki,https://mlp.fandom.com,3648,913800,2277639,84,
Dexter,Dexter Wiki,https://dexter.fandom.com,3342,43523,168016,31,
My Hero Academia,My Hero Academia Wiki,https://myheroacademia.fandom.com,3296,72596,489354,86,
Babylon 5,The Babylon Project,https://babylon5.fandom.com,3234,11062,71743,7,
Sailor Moon,Sailor Moon Wiki,https://sailormoon.fandom.com,3124,65141,285739,40,
RuPaul's Drag Race,RuPaul's Drag Race Wiki,https://rupaulsdragrace.fandom.com,3008,176291,873119,182,
Bleach,Bleach Wiki,https://bleach.fandom.com,2996,120740,611662,104,
Squid Game,Squid Game Wiki,https://squid-game.fandom.com,2901,58235,552239,186,
The Vampire Diaries,The Vampire Diaries Wiki,https://vampirediaries.fandom.com,2696,1612317,4309841,17,
Attack on Titan,Attack on Titan Wiki,https://attackontitan.fandom.com,2674,66412,345380,21,
Hunter x Hunter,Hunterpedia,https://hunterxhunter.fandom.com,2646,94270,422310,33,
Degrassi,Degrassi Wiki,https://degrassi.fandom.com,2629,1913556,2898527,11,
JoJo's Bizarre Adventure,JoJo's Bizarre Wiki,https://jojo.fandom.com,2595,129150,426607,19,
Steven Universe,Steven Universe Wiki,https://steven-universe.fandom.com,2520,970287,2070853,53,
Brooklyn Nine-Nine,Brooklyn Nine-Nine Wiki,https://brooklyn99.fandom.com,2379,18288,71932,6,
Regular Show,Regular Show Wiki,https://regularshow.fandom.com,2378,101087,431073,70,
Fringe,FringeWiki,https://fringe.fandom.com,2264,11081,45279,2,
Breaking Bad,Breaking Bad Wiki,https://breakingbad.fandom.com,2208,35035,199043,45,
Wednesday / Addams Family,Addams Family Wiki,https://addamsfamily.fandom.com,2119,11580,105862,24,
CSI,CSI,https://csi.fandom.com,2092,10543,69100,20,
Riverdale,Archieverse Wiki,https://riverdale.fandom.com,1889,60528,212417,12,
Black Clover,Black Clover Wiki,https://blackclover.fandom.com,1887,10873,98631,22,
Gintama,Gintama Wiki,https://gintama.fandom.com,1870,13980,74330,13,
The Big Bang Theory,The Big Bang Theory Wiki,https://bigbangtheory.fandom.com,1848,27366,458187,48,
Gravity Falls,Gravity Falls Wiki,https://gravityfalls.fandom.com,1822,184580,607573,60,
iCarly,iCarly Wiki,https://icarly.fandom.com,1756,602575,983089,59,
The Boys,The Boys Wiki,https://amazons-the-boys.fandom.com,1738,9859,78862,52,
Pretty Little Liars,Pretty Little Liars Wiki,https://prettylittleliars.fandom.com,1727,736078,1059412,9,
Glee,Glee Wiki,https://glee.fandom.com,1685,2389946,3931961,17,
Friends,Friends Central,https://friends.fandom.com,1667,21700,109457,24,
The Sopranos,The Sopranos Wiki,https://sopranos.fandom.com,1559,6356,43695,14,
Sons of Anarchy,Sons of Anarchy,https://sonsofanarchy.fandom.com,1549,13358,63797,5,
Red Dwarf,Tongue Tied,https://reddwarf.fandom.com,1405,6991,35507,3,
The Office (US),Dunderpedia: The Office Wiki,https://theoffice.fandom.com,1362,33862,125299,25,
Sword Art Online,Sword Art Online Wiki,https://swordartonline.fandom.com,1298,69148,192634,15,
How I Met Your Mother,How I Met Your Mother Wiki,https://how-i-met-your-mother.fandom.com,1232,88472,180870,6,
Stranger Things,Stranger Things Wiki,https://strangerthings.fandom.com,1226,60633,190245,48,
Westworld,Westworld Wiki,https://westworld.fandom.com,1172,11329,41311,2,
Jujutsu Kaisen,Jujutsu Kaisen Wiki,https://jujutsu-kaisen.fandom.com,1092,10667,88223,69,
Bluey,Bluey Wiki,https://blueypedia.fandom.com,1073,19146,77048,66,
Shameless,Shameless Wiki,https://shameless.fandom.com,1033,8370,37452,11,
Teen Titans,Teen Titans Wiki,https://teentitans.fandom.com,1029,34573,127209,35,
Fullmetal Alchemist,Fullmetal Alchemist Wiki,https://fma.fandom.com,1017,8229,75737,7,
Community,Community Wiki,https://community-sitcom.fandom.com,1014,23806,103582,6,
Demon Slayer,Kimetsu no Yaiba Wiki,https://kimetsu-no-yaiba.fandom.com,973,34049,198221,69,
Seinfeld,WikiSein,https://seinfeld.fandom.com,972,6583,30928,10,
Total Drama,Total Drama Wiki,https://totaldrama.fandom.com,942,456020,1870193,100,
Invincible,Invincible Wiki,https://invincible.fandom.com,900,6292,81685,46,
Vikings,Vikings Wiki,https://vikings.fandom.com,818,17532,50294,1,
Outlander,Outlander Wiki,https://outlander.fandom.com,818,11654,42912,5,
Parks and Recreation,Parks and Recreation Wiki,https://parksandrecreation.fandom.com,730,9804,30863,4,
Gilmore Girls,Gilmore Girls Wiki,https://gilmoregirls.fandom.com,674,6949,49339,7,
Death Note,Death Note Wiki,https://deathnote.fandom.com,637,16621,71778,15,
Teen Wolf,Teen Wolf Wiki,https://teenwolf.fandom.com,504,155411,236135,3,
Hannah Montana,Hannah Montana Wiki,https://hannahmontana.fandom.com,394,3799,28461,23,
Peaky Blinders,Peaky Blinders Wiki,https://peaky-blinders.fandom.com,336,4268,16219,4,
Detective Conan,,https://www.detectiveconanworld.com/wiki,,,,,KeyError: 'query'
The 100,,https://thehundred.fandom.com,,,,,HTTPError: HTTP Error 404: Not Found
Heroes,,https://heroeswiki.com,,,,,URLError: <urlopen error [Errno -5] No address associated with hostname>
